#Event Number   e2s             e3s             
47518           0.0565102       0.0454716       
47525           0.0327395       0.110438        
47827           0.172713        0.12314         
47901           0.051353        0.0771948       
47993           0.0531289       0.0747707       
48062           0.0709749       0.0226418       
48416           0.114601        0.137596        
48606           0.107237        0.026241        
48635           0.0985166       0.150326        
48685           0.100724        0.027157        
48771           0.137622        0.0299739       
48791           0.122065        0.145911        
48841           0.144339        0.0747107       
48955           0.110097        0.123201        
49032           0.112588        0.134893        
49133           0.0168193       0.0724952       
49135           0.0631066       0.145325        
49211           0.0870186       0.107437        
49215           0.0779853       0.0563436       
49416           0.0772274       0.0895151       
49550           0.0774465       0.0565248       
49694           0.103715        0.0482997       
49711           0.0906346       0.0409904       
49764           0.0230249       0.0871098       
49796           0.071824        0.108888        
50074           0.0710804       0.0591635       
50189           0.059923        0.117872        
50214           0.13484         0.0596944       
50457           0.0570262       0.095649        
50681           0.0619761       0.129252        
50713           0.099363        0.0652022       
50752           0.0419419       0.126409        
50758           0.127101        0.0310712       
50785           0.0949064       0.0992563       
51218           0.0368412       0.0286566       
51231           0.166195        0.0404217       
51351           0.0675576       0.0513997       
51352           0.0882242       0.117321        
51498           0.0810488       0.0370449       
51656           0.0773486       0.0749588       
51794           0.0399983       0.0998043       
51919           0.116755        0.0469175       
51937           0.0901407       0.0515506       
52006           0.0736707       0.14899         
52070           0.0920852       0.0354637       
52138           0.0981639       0.0235122       
52325           0.0432563       0.0785522       
52349           0.100374        0.0743225       
52372           0.111976        0.155321        
52435           0.128278        0.122134        
52463           0.063805        0.0882846       
52634           0.161228        0.00547983      
52688           0.18586         0.0531447       
52814           0.0783677       0.0779124       
52825           0.0974348       0.0712116       
53097           0.0899846       0.0784567       
53161           0.112195        0.0584527       
53200           0.0267883       0.063802        
53296           0.143373        0.0913092       
53327           0.0195583       0.103732        
53411           0.0852772       0.00599117      
53417           0.0489083       0.0694998       
53793           0.054281        0.0127825       
53900           0.0484932       0.122006        
53976           0.0400584       0.0759109       
54302           0.0964373       0.108196        
54523           0.144794        0.0345228       
54581           0.0846177       0.0609418       
54874           0.0743763       0.103574        
54900           0.134599        0.00728064      
55069           0.0356465       0.137353        
55254           0.0813766       0.0857336       
55369           0.0217843       0.0827858       
55424           0.0622728       0.0791605       
55659           0.0309189       0.0441031       
55698           0.0253199       0.0193563       
55969           0.0848161       0.0656852       
55975           0.0853489       0.0615569       
56047           0.0410795       0.0882794       
56237           0.107314        0.0228588       
56534           0.141057        0.0208785       
56566           0.17177         0.0219468       
56714           0.124411        0.0426761       
56800           0.0477937       0.0212882       
56843           0.0679887       0.045514        
56887           0.0624212       0.0670059       
57031           0.0884853       0.0797805       
